,0
0,Lisboa
1,Lisboa
2,Lisboa
3,Lisboa
4,Lisboa
5,Lisboa
6,Lisboa
7,Lisboa
8,Lisboa
9,Lisboa
10,Lisboa
11,Lisboa
12,Lisboa
13,Lisboa
14,Lisboa
15,Leiria
16,Leiria
17,Setúbal
18,Setúbal
19,Lisboa
20,Lisboa
21,Lisboa
22,Lisboa
23,Lisboa
24,Lisboa
25,Lisboa
26,Lisboa
27,Lisboa
28,Leiria
29,Setúbal
30,Setúbal
31,Setúbal
32,Setúbal
33,Lisboa
34,Lisboa
35,Lisboa
36,Lisboa
37,Lisboa
38,Lisboa
39,Lisboa
40,Leiria
41,Leiria
42,Leiria
43,Leiria
44,Setúbal
45,Setúbal
46,Setúbal
47,Setúbal
48,Setúbal
49,Lisboa
50,Lisboa
51,Lisboa
52,Lisboa
53,Lisboa
54,Lisboa
55,Lisboa
56,Leiria
57,Leiria
58,Leiria
59,Leiria
60,Leiria
61,Faro
62,Faro
63,Faro
64,Setúbal
65,Setúbal
66,Setúbal
67,Setúbal
68,Lisboa
69,Lisboa
70,Lisboa
71,Lisboa
72,Lisboa
73,Lisboa
74,Santarém
75,Leiria
76,Leiria
77,Leiria
78,Leiria
79,Leiria
80,Leiria
81,Leiria
82,Leiria
83,Viana do Castelo
84,Viana do Castelo
85,Faro
86,Faro
87,Faro
88,Faro
89,Setúbal
90,Setúbal
91,Setúbal
92,Setúbal
93,Setúbal
94,Setúbal
95,Setúbal
96,Santarém
97,Santarém
98,Santarém
99,Lisboa
100,Lisboa
101,Santarém
102,Santarém
103,Santarém
104,Santarém
105,Santarém
106,Leiria
107,Leiria
108,Leiria
109,Leiria
110,Leiria
111,Leiria
112,Leiria
113,Coimbra
114,Coimbra
115,Coimbra
116,Viana do Castelo
117,Viana do Castelo
118,Viana do Castelo
119,Viana do Castelo
120,Faro
121,Faro
122,Faro
123,Faro
124,Faro
125,Beja
126,Beja
127,Beja
128,Beja
129,Beja
130,Setúbal
131,Setúbal
132,Setúbal
133,Setúbal
134,Setúbal
135,Setúbal
136,Setúbal
137,Setúbal
138,Setúbal
139,Setúbal
140,Setúbal
141,Setúbal
142,Santarém
143,Santarém
144,Santarém
145,Santarém
146,Santarém
147,Santarém
148,Santarém
149,Santarém
150,Santarém
151,Santarém
152,Leiria
153,Leiria
154,Leiria
155,Leiria
156,Leiria
157,Leiria
158,Leiria
159,Coimbra
160,Coimbra
161,Coimbra
162,Coimbra
163,Coimbra
164,Coimbra
165,Aveiro
166,Porto
167,Porto
168,Porto
169,Porto
170,Porto
171,Braga
172,Braga
173,Viana do Castelo
174,Viana do Castelo
175,Viana do Castelo
176,Viana do Castelo
177,Faro
178,Faro
179,Faro
180,Faro
181,Faro
182,Beja
183,Beja
184,Beja
185,Beja
186,Setúbal
187,Setúbal
188,Setúbal
189,Setúbal
190,Setúbal
191,Setúbal
192,Setúbal
193,Setúbal
194,Setúbal
195,Setúbal
196,Setúbal
197,Setúbal
198,Setúbal
199,Santarém
200,Santarém
201,Santarém
202,Santarém
203,Santarém
204,Santarém
205,Santarém
206,Santarém
207,Santarém
208,Santarém
209,Santarém
210,Santarém
211,Leiria
212,Leiria
213,Leiria
214,Leiria
215,Leiria
216,Coimbra
217,Coimbra
218,Coimbra
219,Coimbra
