,Phov,Elevation,long_bins,lat_bins,Inclination,lat_leftend,lat_rightend,long_leftend,long_rightend,Coordinates,Address,County
0,1649.0002,155.4762741652021,"(-9.496, -9.404]","(38.767, 38.845]",6.416666666666667,38.767,38.845,-9.508,-9.415,"38.767,-9.508","Arribas Direitas, Colares, Sintra, Lisboa, 2705-001, Portugal",Lisboa
1,1654.1453,83.54742096505824,"(-9.404, -9.312]","(38.689, 38.767]",7.0,38.689,38.767,-9.415,-9.323,"38.689,-9.415","Marina de Cascais, Avenida Rei Humberto II de Itália, Gandarinha, Cascais, Cascais e Estoril, Cascais, Lisboa, 2750-310, Portugal",Lisboa
2,1634.1395,186.35742035742035,"(-9.404, -9.312]","(38.767, 38.845]",6.777777777777778,38.767,38.845,-9.415,-9.323,"38.767,-9.415","Torgas, Sintra, Lisboa, 2714 - 511, Portugal",Lisboa
3,1634.9681,139.48174048174047,"(-9.404, -9.312]","(38.845, 38.922]",5.777777777777778,38.845,38.922,-9.415,-9.323,"38.845,-9.415","Pernigem, São João das Lampas e Terrugem, Sintra, Lisboa, 2710-652, Portugal",Lisboa
4,1611.887,122.34654234654236,"(-9.404, -9.312]","(38.922, 39.0]",6.0,38.922,39.0,-9.415,-9.323,"38.922,-9.415","Estrada de São Julião, São João das Lampas e Terrugem, Sintra, Lisboa, 2655, Portugal",Lisboa
5,1592.1578,72.98212898212898,"(-9.404, -9.312]","(39.0, 39.078]",6.583333333333333,39.0,39.078,-9.415,-9.323,"39.0,-9.415","Rua do Cravo Poente, Ribamar, Santo Isidoro, Mafra, Lisboa, 2640-029, Portugal",Lisboa
6,1577.0831,39.56425531914893,"(-9.404, -9.312]","(39.078, 39.156]",6.111111111111111,39.078,39.156,-9.415,-9.323,"39.078,-9.415","Cambelas, São Pedro da Cadeira, Torres Vedras, Lisboa, 2560-191, Portugal",Lisboa
7,1653.6638,81.84489795918367,"(-9.312, -9.22]","(38.689, 38.767]",6.75,38.689,38.767,-9.323,-9.231,"38.689,-9.323","Rua Carlos Mardel, Nova Oeiras, Oeiras, Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Oeiras, Lisboa, 2780-133, Portugal",Lisboa
8,1631.0128,210.2121212121212,"(-9.312, -9.22]","(38.767, 38.845]",6.916666666666667,38.767,38.845,-9.323,-9.231,"38.767,-9.323","Rio de Mouro Velho, Paiões, Rio de Mouro, Sintra, Lisboa, 2635-475, Portugal",Lisboa
9,1625.6992,221.36130536130537,"(-9.312, -9.22]","(38.845, 38.922]",7.0,38.845,38.922,-9.323,-9.231,"38.845,-9.323","Fação, Pero Pinheiro, Almargem do Bispo, Pêro Pinheiro e Montelavar, Sintra, Lisboa, 2715-061, Portugal",Lisboa
10,1614.4825,207.34654234654235,"(-9.312, -9.22]","(38.922, 39.0]",6.583333333333333,38.922,39.0,-9.323,-9.231,"38.922,-9.323","Igreja Nova, Ventureira, Igreja Nova e Cheleiros, Mafra, Lisboa, 2640-335 IGREJA NOVA, Portugal",Lisboa
11,1594.8334,95.50971250971251,"(-9.312, -9.22]","(39.0, 39.078]",5.875,39.0,39.078,-9.323,-9.231,"39.0,-9.323","Bee Moinho, Rua da Abelheira, Azueira e Sobral da Abelheira, Mafra, Lisboa, 2565-306, Portugal",Lisboa
12,1584.5873,66.6029526029526,"(-9.312, -9.22]","(39.078, 39.156]",6.0,39.078,39.156,-9.323,-9.231,"39.078,-9.323","Casal Moinho de Frade, Ventosa, Torres Vedras, Lisboa, 2565-831, Portugal",Lisboa
13,1572.3823,66.46681749622925,"(-9.312, -9.22]","(39.156, 39.233]",6.916666666666667,39.156,39.233,-9.323,-9.231,"39.156,-9.323","EM 562, Casal das Paradas, A dos Cunhados, A dos Cunhados e Maceira, Torres Vedras, Lisboa, 2560-053, Portugal",Lisboa
14,1558.9258,90.7855477855478,"(-9.312, -9.22]","(39.233, 39.311]",7.0,39.233,39.311,-9.323,-9.231,"39.233,-9.323","Atalaia, Lourinhã e Atalaia, Lourinhã, Lisboa, 2530-020, Portugal",Lisboa
15,1551.4397,76.998445998446,"(-9.312, -9.22]","(39.311, 39.389]",6.916666666666667,39.311,39.389,-9.323,-9.231,"39.311,-9.323","Casais do Júlio, Atouguia da Baleia, Peniche, Leiria, 2525-005, Portugal",Leiria
16,1542.3899,38.45995423340961,"(-9.312, -9.22]","(39.389, 39.467]",6.916666666666667,39.389,39.467,-9.323,-9.231,"39.389,-9.323","Praia da Almagreira, Ferrel, Peniche, Leiria, 2520-102, Portugal",Leiria
