lat,long,value
37.0,-9.0,38.88433333333334
37.0,-8.8,40.618944444444445
37.0,-8.0,45.19068518518519
37.0,-7.8,47.26798148148148
37.2,-8.8,47.41594444444445
37.2,-8.6,52.31468518518518
37.2,-8.4,50.89607407407408
37.2,-8.2,50.5892962962963
37.2,-8.0,59.38274074074074
37.2,-7.8,56.81161111111111
37.2,-7.6,44.414685185185185
37.2,-7.4,38.52090740740741
37.4,-8.8,51.44464814814815
37.4,-8.6,69.14537037037037
37.4,-8.4,58.8572037037037
37.4,-8.2,53.33598148148148
37.4,-8.0,57.09159259259259
37.4,-7.8,51.88714814814815
37.4,-7.6,43.49503703703704
37.6,-8.8,50.78759259259259
37.6,-8.6,52.42118518518518
37.6,-8.4,50.11457407407407
37.6,-8.2,46.946666666666665
37.6,-8.0,42.82809259259259
37.6,-7.8,40.41294444444445
37.6,-7.6,37.896462962962964
37.8,-8.8,52.51131481481482
37.8,-8.6,53.95038888888889
37.8,-8.4,46.80459259259259
37.8,-8.2,42.947685185185186
37.8,-8.0,39.84668518518519
37.8,-7.8,38.40342592592592
37.8,-7.6,39.52957407407408
37.8,-7.4,45.44085185185185
38.0,-8.8,50.52931481481482
38.0,-8.6,50.859944444444444
38.0,-8.4,45.17072222222222
38.0,-8.2,41.78824074074074
38.0,-8.0,42.302277777777775
38.0,-7.8,43.87412962962963
38.0,-7.6,42.58514814814815
38.0,-7.4,44.08251851851852
38.0,-7.2,50.10581481481481
38.2,-8.8,47.901444444444444
38.2,-8.6,48.59518518518519
38.2,-8.4,45.87977777777778
38.2,-8.2,44.36216666666667
38.2,-8.0,46.65188888888889
38.2,-7.8,46.91159259259259
38.2,-7.6,44.8655
38.2,-7.4,45.31783333333333
38.2,-7.2,45.87057407407408
38.2,-7.0,48.649314814814815
38.4,-9.2,54.93898148148148
38.4,-9.0,52.588685185185184
38.4,-8.8,47.053074074074075
38.4,-8.6,44.719796296296295
38.4,-8.4,48.07414814814815
38.4,-8.2,50.99777777777778
38.4,-8.0,51.933129629629626
38.4,-7.8,46.12698148148148
38.4,-7.6,44.44314814814815
38.4,-7.4,44.12107407407407
38.6,-9.2,55.25944444444444
38.6,-9.0,52.99324074074074
38.6,-8.8,52.62751851851852
38.6,-8.6,53.25264814814815
38.6,-8.4,51.91246296296296
38.6,-8.2,54.30372222222222
38.6,-8.0,51.40324074074074
38.6,-7.8,46.211444444444446
38.6,-7.6,46.066574074074076
38.6,-7.4,46.74575925925926
38.8,-9.4,61.903166666666664
38.8,-9.2,62.592333333333336
38.8,-9.0,52.254518518518516
38.8,-8.8,50.861037037037036
38.8,-8.6,53.83127777777778
38.8,-8.4,52.199111111111115
38.8,-8.2,50.24505555555556
38.8,-8.0,50.384611111111106
38.8,-7.8,47.55825925925926
38.8,-7.6,50.01448148148148
38.8,-7.4,52.37175925925926
38.8,-7.2,41.32
39.0,-9.4,58.39548148148148
39.0,-9.2,62.16111111111111
39.0,-9.0,55.91090740740741
39.0,-8.8,50.86259259259259
39.0,-8.6,53.05396296296296
39.0,-8.4,53.25888888888889
39.0,-8.2,49.86607407407408
39.0,-8.0,50.123999999999995
39.0,-7.8,48.97040740740741
39.0,-7.6,48.24805555555556
39.0,-7.4,46.46461111111111
39.0,-7.2,42.577666666666666
39.0,-7.0,43.2712962962963
39.2,-9.4,55.362259259259254
39.2,-9.2,60.966537037037035
39.2,-9.0,62.9832962962963
39.2,-8.8,55.9212962962963
39.2,-8.6,53.89355555555556
39.2,-8.4,55.80972222222222
39.2,-8.2,55.20059259259259
39.2,-8.0,53.841314814814815
39.2,-7.8,52.21457407407407
39.2,-7.6,53.741962962962965
39.2,-7.4,58.92033333333333
39.2,-7.2,57.7095
39.4,-9.4,52.60701851851852
39.4,-9.2,60.25751851851852
39.4,-9.0,69.21027777777779
39.4,-8.8,73.11316666666667
39.4,-8.6,65.9677037037037
39.4,-8.4,60.44672222222222
39.4,-8.2,59.86857407407407
39.4,-8.0,59.36990740740741
