,index,long_position_solar,lat_position_solar,value_phov,long_position_topo,lat_position_topo,elevation,long_position,lat_position,value,lat_leftend,lat_rightend,long_leftend,long_rightend,coordinates,Address,esp_or_not
0,40,"(-9.604, -9.512]","(39.022, 39.075]",1555.234,"(-9.696, -9.6]","(39.306, 39.384]",7.837209302325581,"(-9.683, -9.587]","(39.311, 39.389]",6.416666666666667,39.311,39.389,-9.696,-9.6,"39.311,-9.696",Portugal,0
1,133,"(-9.512, -9.423]","(38.646, 38.7]",1650.0613,"(-9.6, -9.508]","(38.758, 38.837]",7.181818181818182,"(-9.587, -9.496]","(38.767, 38.845]",4.916666666666667,38.767,38.845,-9.6,-9.508,"38.767,-9.6",Portugal,0
2,141,"(-9.512, -9.423]","(39.075, 39.129]",1545.9958,"(-9.6, -9.508]","(39.384, 39.462]",21.193548387096776,"(-9.587, -9.496]","(39.389, 39.467]",7.0,39.389,39.467,-9.6,-9.508,"39.389,-9.6",Portugal,0
3,142,"(-9.512, -9.423]","(39.129, 39.183]",1544.7921,"(-9.6, -9.508]","(39.462, 39.541]",4.22,"(-9.587, -9.496]","(39.467, 39.544]",7.0,39.467,39.544,-9.6,-9.508,"39.467,-9.6",Portugal,0
4,232,"(-9.423, -9.335]","(38.592, 38.646]",1666.3787,"(-9.508, -9.415]","(38.68, 38.758]",67.4808362369338,"(-9.496, -9.404]","(38.689, 38.767]",7.0,38.689,38.767,-9.508,-9.415,"38.689,-9.508",Portugal,0
5,233,"(-9.423, -9.335]","(38.646, 38.7]",1649.0002,"(-9.508, -9.415]","(38.758, 38.837]",155.4762741652021,"(-9.496, -9.404]","(38.767, 38.845]",6.416666666666667,38.767,38.845,-9.508,-9.415,"38.767,-9.508","Arribas Direitas, Colares, Sintra, Lisboa, 2705-001, Portugal",0
6,234,"(-9.423, -9.335]","(38.7, 38.753]",1636.5132,"(-9.508, -9.415]","(38.837, 38.915]",82.07563025210084,"(-9.496, -9.404]","(38.845, 38.922]",5.833333333333333,38.845,38.922,-9.508,-9.415,"38.845,-9.508",Portugal,0
7,235,"(-9.423, -9.335]","(38.753, 38.807]",1587.9487,"(-9.508, -9.415]","(38.915, 38.993]",27.29787234042553,"(-9.496, -9.404]","(38.922, 39.0]",6.75,38.922,39.0,-9.508,-9.415,"38.922,-9.508",Portugal,0
8,236,"(-9.423, -9.335]","(38.807, 38.861]",1587.4705,"(-9.508, -9.415]","(38.993, 39.071]",29.72636815920398,"(-9.496, -9.404]","(39.0, 39.078]",7.0,39.0,39.078,-9.508,-9.415,"39.0,-9.508",Portugal,0
9,237,"(-9.423, -9.335]","(38.861, 38.914]",1590.1707,"(-9.508, -9.415]","(39.071, 39.149]",22.266666666666666,"(-9.496, -9.404]","(39.078, 39.156]",7.0,39.078,39.156,-9.508,-9.415,"39.078,-9.508",Portugal,0
10,241,"(-9.423, -9.335]","(39.075, 39.129]",1572.3221,"(-9.508, -9.415]","(39.384, 39.462]",12.2,"(-9.496, -9.404]","(39.389, 39.467]",7.0,39.389,39.467,-9.508,-9.415,"39.389,-9.508",Portugal,0
11,331,"(-9.335, -9.247]","(38.539, 38.592]",1668.7609,"(-9.415, -9.323]","(38.602, 38.68]",3.2653061224489797,"(-9.404, -9.312]","(38.611, 38.689]",6.888888888888889,38.611,38.689,-9.415,-9.323,"38.611,-9.415",Portugal,0
12,332,"(-9.335, -9.247]","(38.592, 38.646]",1654.1453,"(-9.415, -9.323]","(38.68, 38.758]",83.54742096505824,"(-9.404, -9.312]","(38.689, 38.767]",7.0,38.689,38.767,-9.415,-9.323,"38.689,-9.415","Marina de Cascais, Avenida Rei Humberto II de Itália, Gandarinha, Cascais, Cascais e Estoril, Cascais, Lisboa, 2750-310, Portugal",0
13,333,"(-9.335, -9.247]","(38.646, 38.7]",1634.1395,"(-9.415, -9.323]","(38.758, 38.837]",186.35742035742035,"(-9.404, -9.312]","(38.767, 38.845]",6.777777777777778,38.767,38.845,-9.415,-9.323,"38.767,-9.415","Torgas, Sintra, Lisboa, 2714 - 511, Portugal",0
14,334,"(-9.335, -9.247]","(38.7, 38.753]",1634.9681,"(-9.415, -9.323]","(38.837, 38.915]",139.48174048174047,"(-9.404, -9.312]","(38.845, 38.922]",5.777777777777778,38.845,38.922,-9.415,-9.323,"38.845,-9.415","Pernigem, São João das Lampas e Terrugem, Sintra, Lisboa, 2710-652, Portugal",0
15,335,"(-9.335, -9.247]","(38.753, 38.807]",1611.887,"(-9.415, -9.323]","(38.915, 38.993]",122.34654234654235,"(-9.404, -9.312]","(38.922, 39.0]",6.0,38.922,39.0,-9.415,-9.323,"38.922,-9.415","Estrada de São Julião, São João das Lampas e Terrugem, Sintra, Lisboa, 2655, Portugal",0
